Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-178564443-612x612.jpg,0.6444,0.426,0.2323,10,5,3,299.47,385.23,353.81,8.14,27.68
istockphoto-179066874-612x612.jpg,1.3909,0.8154,0.5122,21,10,8,295.92,363.19,284.12,11.97,40.04
istockphoto-179066874-612x612.jpg,1.3909,0.8154,0.5122,21,10,8,295.92,363.19,284.12,11.97,40.04
istockphoto-184758160-612x612.jpg,1.5079,0.9309,0.6604,28,22,16,277.87,213.4,206.64,15.18,51.78
istockphoto-184758160-612x612.jpg,1.5079,0.9309,0.6604,28,22,16,277.87,213.4,206.64,15.18,51.78
istockphoto-185302736-612x612.jpg,1.314,0.9443,0.6332,26,16,17,231.83,269.43,167.28,14.81,49.03
istockphoto-185302736-612x612.jpg,1.314,0.9443,0.6332,26,16,17,231.83,269.43,167.28,14.81,49.03
istockphoto-186012002-612x612.jpg,0.3877,0.1501,0.0286,2,2,1,894.71,363.86,125.54,4.61,21.02
istockphoto-186012002-612x612.jpg,0.3877,0.1501,0.0286,2,2,1,894.71,363.86,125.54,4.61,21.02
istockphoto-2209570997-612x612.jpg,1.298,0.7974,0.5126,13,12,14,466.74,298.51,162.58,11.39,38.05
istockphoto-2209570997-612x612.jpg,1.298,0.7974,0.5126,13,12,14,466.74,298.51,162.58,11.39,38.05
istockphoto-453270811-612x612.jpg,1.8326,1.2118,0.856,43,22,25,227.16,290.16,175.81,19.39,55.34
istockphoto-453270811-612x612.jpg,1.8326,1.2118,0.856,43,22,25,227.16,290.16,175.81,19.39,55.34
istockphoto-462433767-612x612.jpg,1.671,0.976,0.5868,28,19,13,279.6,234.91,202.8,15.9,47.66
istockphoto-462433767-612x612.jpg,1.671,0.976,0.5868,28,19,13,279.6,234.91,202.8,15.9,47.66
istockphoto-468554282-612x612.jpg,0.7505,0.5795,0.3612,4,2,4,888.99,1342.9,412.04,8.14,31.95
istockphoto-468554282-612x612.jpg,0.7505,0.5795,0.3612,4,2,4,888.99,1342.9,412.04,8.14,31.95
istockphoto-486818690-612x612.jpg,1.4888,1.1176,0.5653,25,23,17,329.33,262.49,180.18,14.04,45.78
istockphoto-486818690-612x612.jpg,1.4888,1.1176,0.5653,25,23,17,329.33,262.49,180.18,14.04,45.78
istockphoto-490514186-612x612.jpg,1.071,0.7629,0.5189,12,13,10,446.0,289.0,252.66,11.41,40.07
istockphoto-490514186-612x612.jpg,1.071,0.7629,0.5189,12,13,10,446.0,289.0,252.66,11.41,40.07
istockphoto-495671192-612x612.jpg,1.6963,1.0291,0.716,30,23,19,313.35,238.2,201.63,17.29,50.67
istockphoto-495671192-612x612.jpg,1.6963,1.0291,0.716,30,23,19,313.35,238.2,201.63,17.29,50.67
istockphoto-499360203-612x612.jpg,0.4786,0.3264,0.2825,10,8,7,201.61,169.2,170.03,7.34,30.73
istockphoto-499360203-612x612.jpg,0.4786,0.3264,0.2825,10,8,7,201.61,169.2,170.03,7.34,30.73
istockphoto-499436327-612x612.jpg,1.6012,1.1529,0.8198,60,37,31,151.39,173.4,145.98,21.5,61.85
istockphoto-499436327-612x612.jpg,1.6012,1.1529,0.8198,60,37,31,151.39,173.4,145.98,21.5,61.85
istockphoto-512335536-612x612.jpg,1.0242,0.591,0.2555,22,18,13,243.81,173.09,100.18,11.92,39.3
istockphoto-512335536-612x612.jpg,1.0242,0.591,0.2555,22,18,13,243.81,173.09,100.18,11.92,39.3
istockphoto-519124142-612x612.jpg,1.2039,0.8326,0.6091,30,19,14,184.88,200.19,200.21,12.84,53.35
istockphoto-519124142-612x612.jpg,1.2039,0.8326,0.6091,30,19,14,184.88,200.19,200.21,12.84,53.35
istockphoto-874426588-612x612.jpg,1.5914,0.9883,0.6074,47,40,23,183.33,131.5,137.42,17.53,44.51
istockphoto-874426588-612x612.jpg,1.5914,0.9883,0.6074,47,40,23,183.33,131.5,137.42,17.53,44.51
istockphoto-89486138-612x612.jpg,1.3092,0.9439,0.6208,18,10,5,340.96,443.21,575.05,16.78,47.08
istockphoto-89486138-612x612.jpg,1.3092,0.9439,0.6208,18,10,5,340.96,443.21,575.05,16.78,47.08
istockphoto-89924216-612x612.jpg,1.5692,0.9748,0.7558,24,18,14,302.18,243.32,241.02,15.72,48.68
istockphoto-89924216-612x612.jpg,1.5692,0.9748,0.7558,24,18,14,302.18,243.32,241.02,15.72,48.68
istockphoto-91710396-612x612.jpg,1.0801,0.6967,0.4172,24,20,14,231.6,174.77,146.19,10.43,37.85
istockphoto-91710396-612x612.jpg,1.0801,0.6967,0.4172,24,20,14,231.6,174.77,146.19,10.43,37.85
istockphoto-93029283-612x612.jpg,0.7294,0.3158,0.1278,5,5,4,755.13,317.91,162.94,4.84,24.42
istockphoto-93029283-612x612.jpg,0.7294,0.3158,0.1278,5,5,4,755.13,317.91,162.94,4.84,24.42
istockphoto-93385142-612x612.jpg,1.1538,0.819,0.6548,23,18,13,228.13,207.02,227.64,15.28,50.44
istockphoto-93385142-612x612.jpg,1.1538,0.819,0.6548,23,18,13,228.13,207.02,227.64,15.28,50.44
istockphoto-953956760-612x612.jpg,1.5295,1.2347,0.8426,24,19,16,299.95,303.87,242.66,18.17,49.19
istockphoto-953956760-612x612.jpg,1.5295,1.2347,0.8426,24,19,16,299.95,303.87,242.66,18.17,49.19
istockphoto-96891345-612x612.jpg,1.308,0.6632,0.5131,25,22,19,240.66,133.01,117.12,13.9,47.2
istockphoto-96891345-612x612.jpg,1.308,0.6632,0.5131,25,22,19,240.66,133.01,117.12,13.9,47.2
istockphoto-97689079-612x612.jpg,0.6441,0.3173,0.2215,9,8,7,318.67,176.83,136.68,6.71,29.88
istockphoto-97689079-612x612.jpg,0.6441,0.3173,0.2215,9,8,7,318.67,176.83,136.68,6.71,29.88
