Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
istockphoto-151555636-612x612.jpg,0.8315,0.2364,0.9153,0.5709,0.9885,0.3259,0.5848,0.939,0.5735,0.9301,0.9085,0.5696,0.6533,0.9158,0.5712,1.1578,0.8977,0.569
istockphoto-152172736-612x612.jpg,0.5423,0.161,0.9429,0.5916,0.9762,0.35,0.3563,0.961,0.5953,0.6143,0.9386,0.59,0.4371,0.9429,0.5919,0.7617,0.9292,0.5893
istockphoto-152172736-612x612.jpg,0.5423,0.161,0.9429,0.5916,0.9762,0.35,0.3563,0.961,0.5953,0.6143,0.9386,0.59,0.4371,0.9429,0.5919,0.7617,0.9292,0.5893
istockphoto-153152189-612x612.jpg,0.5346,0.1705,0.9365,0.5736,0.984,0.3291,0.4094,0.9516,0.576,0.7514,0.9249,0.572,0.3926,0.9384,0.5742,0.5852,0.9313,0.5724
istockphoto-153152189-612x612.jpg,0.5346,0.1705,0.9365,0.5736,0.984,0.3291,0.4094,0.9516,0.576,0.7514,0.9249,0.572,0.3926,0.9384,0.5742,0.5852,0.9313,0.5724
istockphoto-153687315-612x612.jpg,0.8181,0.2001,0.9341,0.6478,0.9736,0.4196,0.6195,0.9404,0.6498,1.0677,0.9304,0.6466,0.6271,0.9414,0.6485,0.9581,0.9242,0.6462
istockphoto-153687315-612x612.jpg,0.8181,0.2001,0.9341,0.6478,0.9736,0.4196,0.6195,0.9404,0.6498,1.0677,0.9304,0.6466,0.6271,0.9414,0.6485,0.9581,0.9242,0.6462
istockphoto-155428659-612x612.jpg,0.4748,0.1232,0.9587,0.7599,0.9854,0.5774,0.3173,0.9762,0.7618,0.5751,0.9515,0.7589,0.3705,0.9555,0.76,0.6362,0.9516,0.7588
istockphoto-155428659-612x612.jpg,0.4748,0.1232,0.9587,0.7599,0.9854,0.5774,0.3173,0.9762,0.7618,0.5751,0.9515,0.7589,0.3705,0.9555,0.76,0.6362,0.9516,0.7588
istockphoto-160420996-612x612.jpg,0.5445,0.1527,0.9467,0.6705,0.9793,0.4495,0.4273,0.9598,0.6729,0.6404,0.9428,0.6695,0.3871,0.9481,0.6707,0.7232,0.9364,0.6687
istockphoto-160420996-612x612.jpg,0.5445,0.1527,0.9467,0.6705,0.9793,0.4495,0.4273,0.9598,0.6729,0.6404,0.9428,0.6695,0.3871,0.9481,0.6707,0.7232,0.9364,0.6687
istockphoto-173915234-612x612.jpg,0.6009,0.1995,0.9249,0.5925,0.9906,0.3511,0.3983,0.9553,0.5961,0.919,0.9061,0.5905,0.4784,0.9195,0.5925,0.608,0.9188,0.5911
istockphoto-173915234-612x612.jpg,0.6009,0.1995,0.9249,0.5925,0.9906,0.3511,0.3983,0.9553,0.5961,0.919,0.9061,0.5905,0.4784,0.9195,0.5925,0.608,0.9188,0.5911
istockphoto-174192325-612x612.jpg,0.6848,0.2057,0.9243,0.5762,0.9888,0.332,0.6312,0.9251,0.5768,1.0812,0.9002,0.5739,0.4052,0.9406,0.5777,0.6215,0.9314,0.5762
istockphoto-174192325-612x612.jpg,0.6848,0.2057,0.9243,0.5762,0.9888,0.332,0.6312,0.9251,0.5768,1.0812,0.9002,0.5739,0.4052,0.9406,0.5777,0.6215,0.9314,0.5762
istockphoto-175129786-612x612.jpg,0.5762,0.185,0.9313,0.5642,0.9846,0.3184,0.4682,0.9457,0.5668,0.7988,0.9204,0.5629,0.3994,0.9348,0.5652,0.6382,0.9242,0.562
istockphoto-175129786-612x612.jpg,0.5762,0.185,0.9313,0.5642,0.9846,0.3184,0.4682,0.9457,0.5668,0.7988,0.9204,0.5629,0.3994,0.9348,0.5652,0.6382,0.9242,0.562
istockphoto-176810394-612x612.jpg,0.18,0.0684,0.9734,0.7481,0.9831,0.5596,0.1004,0.9822,0.75,0.2007,0.9688,0.7471,0.1656,0.9729,0.7483,0.2536,0.9698,0.747
