Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
istockphoto-152995139-612x612.jpg,4.9909,0.9482,0.7623,0.6093,0.9596,0.3712,3.9276,0.7732,0.6104,6.0178,0.7515,0.608,3.8862,0.7752,0.6111,6.1318,0.7491,0.6076
istockphoto-155135289-612x612.jpg,4.6923,0.8305,0.7944,0.6435,0.9619,0.4141,3.6007,0.8021,0.6448,6.1343,0.7819,0.6419,3.6038,0.8107,0.6451,5.4304,0.7828,0.642
istockphoto-155135289-612x612.jpg,4.6923,0.8305,0.7944,0.6435,0.9619,0.4141,3.6007,0.8021,0.6448,6.1343,0.7819,0.6419,3.6038,0.8107,0.6451,5.4304,0.7828,0.642
istockphoto-172923656-612x612.jpg,4.2845,0.7924,0.803,0.6818,0.9603,0.4648,3.3895,0.8102,0.6831,5.3317,0.7949,0.6802,3.2623,0.8141,0.6831,5.1544,0.7927,0.6806
istockphoto-172923656-612x612.jpg,4.2845,0.7924,0.803,0.6818,0.9603,0.4648,3.3895,0.8102,0.6831,5.3317,0.7949,0.6802,3.2623,0.8141,0.6831,5.1544,0.7927,0.6806
istockphoto-172932390-612x612.jpg,5.2448,0.9294,0.7756,0.6259,0.961,0.3918,4.1054,0.7839,0.6273,6.4871,0.7631,0.6244,3.9506,0.7893,0.6273,6.436,0.7662,0.6246
istockphoto-172932390-612x612.jpg,5.2448,0.9294,0.7756,0.6259,0.961,0.3918,4.1054,0.7839,0.6273,6.4871,0.7631,0.6244,3.9506,0.7893,0.6273,6.436,0.7662,0.6246
istockphoto-173935152-612x612.jpg,5.9955,0.9611,0.7788,0.6218,0.952,0.3866,4.7564,0.7872,0.623,7.5483,0.7697,0.6201,4.5735,0.7896,0.6235,7.1037,0.7688,0.6206
istockphoto-173935152-612x612.jpg,5.9955,0.9611,0.7788,0.6218,0.952,0.3866,4.7564,0.7872,0.623,7.5483,0.7697,0.6201,4.5735,0.7896,0.6235,7.1037,0.7688,0.6206
istockphoto-174841598-612x612.jpg,4.5169,0.8906,0.7681,0.6082,0.9646,0.3699,3.1986,0.7805,0.61,5.8051,0.7539,0.6067,3.6843,0.7803,0.6093,5.3795,0.7574,0.6068
istockphoto-174841598-612x612.jpg,4.5169,0.8906,0.7681,0.6082,0.9646,0.3699,3.1986,0.7805,0.61,5.8051,0.7539,0.6067,3.6843,0.7803,0.6093,5.3795,0.7574,0.6068
istockphoto-176123145-612x612.jpg,6.5855,0.9713,0.7902,0.6798,0.9252,0.4621,5.173,0.7943,0.6806,8.4265,0.7798,0.6781,4.9428,0.8063,0.6821,7.7999,0.7803,0.6782
istockphoto-176123145-612x612.jpg,6.5855,0.9713,0.7902,0.6798,0.9252,0.4621,5.173,0.7943,0.6806,8.4265,0.7798,0.6781,4.9428,0.8063,0.6821,7.7999,0.7803,0.6782
istockphoto-178499769-612x612.jpg,6.1209,1.0526,0.7511,0.6179,0.9487,0.3819,4.7845,0.7588,0.6185,7.2588,0.7418,0.6167,4.8238,0.7649,0.6201,7.6166,0.7389,0.6165
istockphoto-178499769-612x612.jpg,6.1209,1.0526,0.7511,0.6179,0.9487,0.3819,4.7845,0.7588,0.6185,7.2588,0.7418,0.6167,4.8238,0.7649,0.6201,7.6166,0.7389,0.6165
