Nama_File,Area,Perimeter,Circularity,Aspect_Ratio,Solidity,Extent
istockphoto-478386400-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-478386400-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-480636761-612x612.jpg,230347.0,1976.0,0.7413418952290319,0.62,1.0,0.9957248331431338
istockphoto-480636761-612x612.jpg,230347.0,1976.0,0.7413418952290319,0.62,1.0,0.9957248331431338
istockphoto-495507915-612x612.jpg,248066.0,2034.0,0.7534860403672529,0.67,1.0,0.99591302532479
istockphoto-495507915-612x612.jpg,248066.0,2034.0,0.7534860403672529,0.67,1.0,0.99591302532479
istockphoto-510798092-612x612.jpg,191243.0,1848.0,0.7037063630864218,0.51,1.0,0.995186503476125
istockphoto-510798092-612x612.jpg,191243.0,1848.0,0.7037063630864218,0.51,1.0,0.995186503476125
istockphoto-534502336-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-534502336-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-541148662-612x612.jpg,228514.0,1970.0,0.7399292985054168,0.61,1.0,0.9957037037037038
istockphoto-541148662-612x612.jpg,228514.0,1970.0,0.7399292985054168,0.61,1.0,0.9957037037037038
istockphoto-578576926-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-578576926-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-586703630-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-586703630-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-89897437-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-89897437-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-91830998-612x612.jpg,249899.0,2040.0,0.7545952158202958,0.67,1.0,0.9959309740156225
istockphoto-91830998-612x612.jpg,249899.0,2040.0,0.7545952158202958,0.67,1.0,0.9959309740156225
istockphoto-92364805-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-92364805-612x612.jpg,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604
istockphoto-96777024-612x612.jpg,249899.0,2040.0,0.7545952158202958,0.67,1.0,0.9959309740156225
istockphoto-96777024-612x612.jpg,249899.0,2040.0,0.7545952158202958,0.67,1.0,0.9959309740156225
