Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1249538191-612x612.jpg,240.96,193.99,184.27,26.63,88.76,97.69,9.55,67.51,242.02,32.51,95.22,23.66,-2.54,-1.01,-0.79,6.96,-0.65,-1.19
istockphoto-1249538191-612x612.jpg,240.96,193.99,184.27,26.63,88.76,97.69,9.55,67.51,242.02,32.51,95.22,23.66,-2.54,-1.01,-0.79,6.96,-0.65,-1.19
istockphoto-1250636720-612x612.jpg,238.57,174.89,164.83,35.99,99.16,106.21,36.42,90.37,240.98,67.17,107.08,27.92,-3.15,-0.62,-0.43,10.34,-1.35,-1.67
istockphoto-1250636720-612x612.jpg,238.57,174.89,164.83,35.99,99.16,106.21,36.42,90.37,240.98,67.17,107.08,27.92,-3.15,-0.62,-0.43,10.34,-1.35,-1.67
istockphoto-1297530672-612x612.jpg,231.78,209.19,208.45,50.36,85.51,85.85,28.48,42.1,232.77,61.6,83.94,47.3,-2.33,-1.55,-1.47,4.6,0.74,0.39
istockphoto-1297530672-612x612.jpg,231.78,209.19,208.45,50.36,85.51,85.85,28.48,42.1,232.77,61.6,83.94,47.3,-2.33,-1.55,-1.47,4.6,0.74,0.39
istockphoto-1309538077-612x612.jpg,244.23,222.63,219.01,29.17,70.17,75.37,19.37,33.78,245.47,51.56,74.08,24.8,-3.51,-2.0,-1.79,13.14,2.56,1.47
istockphoto-1309538077-612x612.jpg,244.23,222.63,219.01,29.17,70.17,75.37,19.37,33.78,245.47,51.56,74.08,24.8,-3.51,-2.0,-1.79,13.14,2.56,1.47
istockphoto-1310793420-612x612.jpg,227.48,172.77,166.77,45.75,101.86,107.3,24.42,84.22,228.57,56.91,104.26,42.98,-1.92,-0.61,-0.52,3.31,-1.37,-1.56
istockphoto-1310793420-612x612.jpg,227.48,172.77,166.77,45.75,101.86,107.3,24.42,84.22,228.57,56.91,104.26,42.98,-1.92,-0.61,-0.52,3.31,-1.37,-1.56
istockphoto-1310793536-612x612.jpg,225.58,172.43,165.01,45.48,101.07,107.46,15.64,86.01,227.28,44.74,104.29,41.43,-1.74,-0.59,-0.47,2.57,-1.39,-1.61
istockphoto-1310793536-612x612.jpg,225.58,172.43,165.01,45.48,101.07,107.46,15.64,86.01,227.28,44.74,104.29,41.43,-1.74,-0.59,-0.47,2.57,-1.39,-1.61
istockphoto-1318910681-612x612.jpg,228.28,185.15,177.8,49.32,96.2,104.41,24.64,74.85,230.33,56.49,102.16,43.62,-2.33,-0.87,-0.77,5.19,-0.95,-1.23
istockphoto-1318910681-612x612.jpg,228.28,185.15,177.8,49.32,96.2,104.41,24.64,74.85,230.33,56.49,102.16,43.62,-2.33,-0.87,-0.77,5.19,-0.95,-1.23
istockphoto-1323348967-612x612.jpg,236.41,207.3,199.81,37.45,86.53,94.5,17.67,53.53,237.04,49.22,92.36,36.45,-1.9,-1.48,-1.23,2.42,0.47,-0.32
istockphoto-1323348967-612x612.jpg,236.41,207.3,199.81,37.45,86.53,94.5,17.67,53.53,237.04,49.22,92.36,36.45,-1.9,-1.48,-1.23,2.42,0.47,-0.32
istockphoto-1353381547-612x612.jpg,223.29,163.47,145.79,51.17,104.94,112.02,34.18,107.57,230.15,62.94,111.52,35.18,-2.02,-0.53,-0.16,3.49,-1.47,-1.84
istockphoto-1353381547-612x612.jpg,223.29,163.47,145.79,51.17,104.94,112.02,34.18,107.57,230.15,62.94,111.52,35.18,-2.02,-0.53,-0.16,3.49,-1.47,-1.84
istockphoto-1372477142-612x612.jpg,238.66,197.91,191.24,30.66,91.72,99.25,16.04,61.86,239.05,46.91,97.33,29.53,-2.03,-1.17,-1.02,3.85,-0.34,-0.8
istockphoto-1372477142-612x612.jpg,238.66,197.91,191.24,30.66,91.72,99.25,16.04,61.86,239.05,46.91,97.33,29.53,-2.03,-1.17,-1.02,3.85,-0.34,-0.8
istockphoto-1372477301-612x612.jpg,235.75,192.12,186.75,33.15,95.3,99.16,33.94,68.11,236.35,66.46,99.53,31.91,-1.7,-1.09,-0.93,2.04,-0.53,-0.91
istockphoto-1372477301-612x612.jpg,235.75,192.12,186.75,33.15,95.3,99.16,33.94,68.11,236.35,66.46,99.53,31.91,-1.7,-1.09,-0.93,2.04,-0.53,-0.91
istockphoto-1374147644-612x612.jpg,238.78,209.51,198.03,45.62,83.05,98.09,9.03,55.02,242.95,29.37,95.56,30.0,-3.52,-1.53,-1.21,11.61,0.73,-0.42
istockphoto-1374147644-612x612.jpg,238.78,209.51,198.03,45.62,83.05,98.09,9.03,55.02,242.95,29.37,95.56,30.0,-3.52,-1.53,-1.21,11.61,0.73,-0.42
istockphoto-1385278889-612x612.jpg,242.21,201.59,188.25,37.83,84.68,100.27,8.43,64.2,244.96,27.47,98.05,27.15,-3.8,-1.23,-0.97,14.09,-0.08,-0.89
istockphoto-1385278889-612x612.jpg,242.21,201.59,188.25,37.83,84.68,100.27,8.43,64.2,244.96,27.47,98.05,27.15,-3.8,-1.23,-0.97,14.09,-0.08,-0.89
istockphoto-1419022553-612x612.jpg,236.04,216.22,209.11,44.53,79.83,92.12,5.68,43.4,236.42,23.82,87.83,43.56,-2.3,-1.72,-1.56,3.95,1.26,0.51
istockphoto-1419022553-612x612.jpg,236.04,216.22,209.11,44.53,79.83,92.12,5.68,43.4,236.42,23.82,87.83,43.56,-2.3,-1.72,-1.56,3.95,1.26,0.51
istockphoto-1468233943-612x612.jpg,228.42,171.84,157.28,42.6,104.5,115.83,11.0,95.48,231.04,33.96,114.5,35.66,-2.11,-0.65,-0.4,4.46,-1.38,-1.78
istockphoto-1468233943-612x612.jpg,228.42,171.84,157.28,42.6,104.5,115.83,11.0,95.48,231.04,33.96,114.5,35.66,-2.11,-0.65,-0.4,4.46,-1.38,-1.78
istockphoto-1472288451-612x612.jpg,230.6,180.08,168.91,40.17,102.61,111.74,12.22,83.43,233.13,37.71,109.89,33.66,-2.17,-0.81,-0.6,5.23,-1.15,-1.57
istockphoto-1472288451-612x612.jpg,230.6,180.08,168.91,40.17,102.61,111.74,12.22,83.43,233.13,37.71,109.89,33.66,-2.17,-0.81,-0.6,5.23,-1.15,-1.57
istockphoto-153588338-612x612.jpg,239.09,202.6,200.24,30.02,87.09,86.66,36.72,55.4,239.53,68.74,89.11,28.8,-1.98,-1.29,-1.1,3.59,0.01,-0.54
istockphoto-153588338-612x612.jpg,239.09,202.6,200.24,30.02,87.09,86.66,36.72,55.4,239.53,68.74,89.11,28.8,-1.98,-1.29,-1.1,3.59,0.01,-0.54
istockphoto-158359330-612x612.jpg,223.91,174.93,162.23,59.79,96.39,108.58,8.28,85.96,227.29,20.86,101.91,50.97,-2.21,-0.49,-0.37,3.69,-1.59,-1.79
istockphoto-158359330-612x612.jpg,223.91,174.93,162.23,59.79,96.39,108.58,8.28,85.96,227.29,20.86,101.91,50.97,-2.21,-0.49,-0.37,3.69,-1.59,-1.79
