Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1220524504-612x612.jpg,244.14,237.01,196.4,33.91,29.67,91.85,9.59,57.1,247.87,17.96,89.92,21.88,-3.36,-1.46,-1.03,10.21,1.3,-0.75
istockphoto-1220524504-612x612.jpg,244.14,237.01,196.4,33.91,29.67,91.85,9.59,57.1,247.87,17.96,89.92,21.88,-3.36,-1.46,-1.03,10.21,1.3,-0.75
istockphoto-1220524506-612x612.jpg,244.96,238.31,212.1,34.19,31.33,76.42,8.04,41.12,247.12,17.65,75.08,25.46,-3.87,-1.97,-1.5,13.98,3.29,0.81
istockphoto-1220524506-612x612.jpg,244.96,238.31,212.1,34.19,31.33,76.42,8.04,41.12,247.12,17.65,75.08,25.46,-3.87,-1.97,-1.5,13.98,3.29,0.81
istockphoto-1220993696-612x612.jpg,232.49,219.33,177.27,52.45,51.25,104.99,12.19,72.57,236.64,19.97,101.1,40.75,-2.62,-1.05,-0.73,5.48,-0.39,-1.3
istockphoto-1220993696-612x612.jpg,232.49,219.33,177.27,52.45,51.25,104.99,12.19,72.57,236.64,19.97,101.1,40.75,-2.62,-1.05,-0.73,5.48,-0.39,-1.3
istockphoto-1223382354-612x612.jpg,246.61,218.93,172.23,19.93,48.14,108.25,8.43,81.5,246.64,14.2,107.06,19.91,-4.02,-0.79,-0.62,22.66,-0.84,-1.52
istockphoto-1223382354-612x612.jpg,246.61,218.93,172.23,19.93,48.14,108.25,8.43,81.5,246.64,14.2,107.06,19.91,-4.02,-0.79,-0.62,22.66,-0.84,-1.52
istockphoto-1223746290-612x612.jpg,249.4,232.58,200.44,15.68,39.98,95.79,6.13,53.78,249.43,13.75,94.69,15.61,-4.21,-1.42,-1.26,24.12,0.54,-0.29
istockphoto-1223746290-612x612.jpg,249.4,232.58,200.44,15.68,39.98,95.79,6.13,53.78,249.43,13.75,94.69,15.61,-4.21,-1.42,-1.26,24.12,0.54,-0.29
istockphoto-1225492835-612x612.jpg,246.76,243.41,227.64,35.12,34.17,72.59,4.78,26.33,248.01,15.14,70.49,29.41,-4.59,-3.25,-2.38,19.9,10.23,3.86
istockphoto-1225492835-612x612.jpg,246.76,243.41,227.64,35.12,34.17,72.59,4.78,26.33,248.01,15.14,70.49,29.41,-4.59,-3.25,-2.38,19.9,10.23,3.86
istockphoto-1253272655-612x612.jpg,232.11,237.73,175.25,58.0,25.98,110.81,14.21,77.94,247.62,21.08,110.52,16.65,-2.79,-1.37,-0.78,6.79,1.1,-1.3
istockphoto-1253272655-612x612.jpg,232.11,237.73,175.25,58.0,25.98,110.81,14.21,77.94,247.62,21.08,110.52,16.65,-2.79,-1.37,-0.78,6.79,1.1,-1.3
istockphoto-1272230724-612x612.jpg,237.93,244.09,227.24,36.58,25.88,70.54,89.98,29.31,246.34,32.68,67.23,25.96,-3.59,-4.24,-2.42,14.12,20.05,4.21
istockphoto-1272230724-612x612.jpg,237.93,244.09,227.24,36.58,25.88,70.54,89.98,29.31,246.34,32.68,67.23,25.96,-3.59,-4.24,-2.42,14.12,20.05,4.21
istockphoto-1312182523-612x612.jpg,231.21,223.06,180.15,50.73,52.12,105.59,11.41,67.44,233.05,17.42,99.74,46.52,-2.21,-1.54,-0.8,3.75,1.33,-1.22
istockphoto-1312182523-612x612.jpg,231.21,223.06,180.15,50.73,52.12,105.59,11.41,67.44,233.05,17.42,99.74,46.52,-2.21,-1.54,-0.8,3.75,1.33,-1.22
istockphoto-1312509574-612x612.jpg,239.88,233.05,206.35,35.95,43.48,89.43,6.91,44.22,240.16,14.28,84.21,35.17,-2.32,-1.84,-1.41,3.88,2.07,0.2
istockphoto-1312509574-612x612.jpg,239.88,233.05,206.35,35.95,43.48,89.43,6.91,44.22,240.16,14.28,84.21,35.17,-2.32,-1.84,-1.41,3.88,2.07,0.2
istockphoto-1313488206-612x612.jpg,249.49,247.17,224.3,27.2,21.61,78.98,5.31,30.14,251.57,15.76,78.28,16.72,-5.2,-2.97,-2.3,26.09,8.36,3.43
istockphoto-1313488206-612x612.jpg,249.49,247.17,224.3,27.2,21.61,78.98,5.31,30.14,251.57,15.76,78.28,16.72,-5.2,-2.97,-2.3,26.09,8.36,3.43
istockphoto-1400453203-612x612.jpg,246.09,243.53,224.14,32.33,27.06,69.58,6.35,29.45,249.08,16.94,66.65,19.54,-4.3,-2.31,-1.96,17.63,4.36,2.14
istockphoto-1400453203-612x612.jpg,246.09,243.53,224.14,32.33,27.06,69.58,6.35,29.45,249.08,16.94,66.65,19.54,-4.3,-2.31,-1.96,17.63,4.36,2.14
istockphoto-1473375455-612x612.jpg,247.97,248.2,214.38,21.52,14.71,83.03,8.26,39.91,251.12,19.21,81.78,10.76,-3.88,-2.25,-1.64,15.69,5.28,0.85
istockphoto-1473375455-612x612.jpg,247.97,248.2,214.38,21.52,14.71,83.03,8.26,39.91,251.12,19.21,81.78,10.76,-3.88,-2.25,-1.64,15.69,5.28,0.85
istockphoto-1498024534-612x612.jpg,247.41,242.58,221.1,31.2,28.2,75.23,6.2,32.38,249.75,16.84,72.52,18.66,-5.33,-2.13,-1.87,28.13,3.39,1.7
istockphoto-1498024534-612x612.jpg,247.41,242.58,221.1,31.2,28.2,75.23,6.2,32.38,249.75,16.84,72.52,18.66,-5.33,-2.13,-1.87,28.13,3.39,1.7
istockphoto-1606733996-612x612.jpg,245.67,241.49,218.86,35.09,33.75,73.83,12.02,32.31,246.88,27.27,67.64,30.12,-4.92,-3.44,-1.69,23.59,12.73,1.12
istockphoto-1606733996-612x612.jpg,245.67,241.49,218.86,35.09,33.75,73.83,12.02,32.31,246.88,27.27,67.64,30.12,-4.92,-3.44,-1.69,23.59,12.73,1.12
istockphoto-2148796316-612x612.jpg,245.58,239.05,215.24,31.27,34.6,81.76,6.44,37.38,247.41,15.71,78.58,24.56,-3.99,-2.18,-1.71,15.71,4.07,1.18
istockphoto-2148796316-612x612.jpg,245.58,239.05,215.24,31.27,34.6,81.76,6.44,37.38,247.41,15.71,78.58,24.56,-3.99,-2.18,-1.71,15.71,4.07,1.18
istockphoto-2149491226-612x612.jpg,244.43,230.74,194.86,36.81,41.39,94.53,8.1,58.7,245.76,15.52,93.01,31.14,-4.26,-1.67,-1.03,17.6,2.22,-0.77
