Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
istockphoto-514853138-612x612.jpg,21.0,Oranye,,,,
istockphoto-514853306-612x612.jpg,21.5,Oranye,33.0,Kuning,,
istockphoto-514853306-612x612.jpg,21.5,Oranye,33.0,Kuning,,
istockphoto-518802266-612x612.jpg,20.0,Oranye,38.5,Hijau,,
istockphoto-518802266-612x612.jpg,20.0,Oranye,38.5,Hijau,,
istockphoto-579128056-612x612.jpg,23.5,Oranye,35.5,Hijau,25.0,Kuning
istockphoto-579128056-612x612.jpg,23.5,Oranye,35.5,Hijau,25.0,Kuning
istockphoto-811121870-612x612.jpg,22.0,Oranye,,,,
istockphoto-811121870-612x612.jpg,22.0,Oranye,,,,
istockphoto-813739486-612x612.jpg,23.5,Oranye,40.0,Hijau,25.0,Kuning
istockphoto-813739486-612x612.jpg,23.5,Oranye,40.0,Hijau,25.0,Kuning
istockphoto-943109786-612x612.jpg,21.0,Oranye,,,,
istockphoto-943109786-612x612.jpg,21.0,Oranye,,,,
istockphoto-978261872-612x612.jpg,23.5,Oranye,25.5,Kuning,38.0,Hijau
istockphoto-978261872-612x612.jpg,23.5,Oranye,25.5,Kuning,38.0,Hijau
