Nama_File,Hue_1,Warna_1,Hue_2,Warna_2
istockphoto-104118859-612x612.jpg,177.0,Merah,,
istockphoto-104118859-612x612.jpg,177.0,Merah,,
istockphoto-1071724874-612x612.jpg,142.2,Merah,,
istockphoto-1071724874-612x612.jpg,142.2,Merah,,
istockphoto-1129330002-612x612.jpg,177.0,Merah,,
istockphoto-1129330002-612x612.jpg,177.0,Merah,,
istockphoto-1129330005-612x612.jpg,177.0,Merah,,
istockphoto-1129330005-612x612.jpg,177.0,Merah,,
istockphoto-1129330007-612x612.jpg,177.0,Merah,,
istockphoto-1129330007-612x612.jpg,177.0,Merah,,
istockphoto-1194909938-612x612.jpg,2.0,Merah,,
istockphoto-1194909938-612x612.jpg,2.0,Merah,,
istockphoto-1211615527-612x612.jpg,177.0,Merah,,
istockphoto-1211615527-612x612.jpg,177.0,Merah,,
istockphoto-1251667475-612x612.jpg,176.0,Merah,,
istockphoto-1251667475-612x612.jpg,176.0,Merah,,
istockphoto-1278670245-612x612.jpg,37.0,Merah,,
istockphoto-1278670245-612x612.jpg,37.0,Merah,,
istockphoto-1291262170-612x612.jpg,142.2,Merah,,
istockphoto-1291262170-612x612.jpg,142.2,Merah,,
istockphoto-1296217548-612x612.jpg,107.0,Merah,,
istockphoto-1296217548-612x612.jpg,107.0,Merah,,
istockphoto-1312496608-612x612.jpg,3.0,Merah,,
istockphoto-1312496608-612x612.jpg,3.0,Merah,,
istockphoto-1317485931-612x612.jpg,72.0,Merah,,
istockphoto-1317485931-612x612.jpg,72.0,Merah,,
istockphoto-139536288-612x612.jpg,3.0,Merah,,
istockphoto-139536288-612x612.jpg,3.0,Merah,,
istockphoto-145152710-612x612.jpg,4.0,Merah,,
istockphoto-145152710-612x612.jpg,4.0,Merah,,
istockphoto-146074221-612x612.jpg,3.0,Merah,,
istockphoto-146074221-612x612.jpg,3.0,Merah,,
istockphoto-146899851-612x612.jpg,2.0,Merah,,
istockphoto-146899851-612x612.jpg,2.0,Merah,,
istockphoto-147072004-612x612.jpg,142.2,Merah,,
istockphoto-147072004-612x612.jpg,142.2,Merah,,
istockphoto-147666530-612x612.jpg,72.0,Merah,,
istockphoto-147666530-612x612.jpg,72.0,Merah,,
istockphoto-1489396457-612x612.jpg,176.0,Merah,,
istockphoto-1489396457-612x612.jpg,176.0,Merah,,
istockphoto-1605993675-612x612.jpg,176.0,Merah,,
istockphoto-1605993675-612x612.jpg,176.0,Merah,,
istockphoto-166138544-612x612.jpg,107.0,Merah,,
istockphoto-166138544-612x612.jpg,107.0,Merah,,
istockphoto-172381794-612x612.jpg,176.5,Merah,39.0,Hijau
istockphoto-172381794-612x612.jpg,176.5,Merah,39.0,Hijau
istockphoto-177110145-612x612.jpg,177.0,Merah,,
istockphoto-177110145-612x612.jpg,177.0,Merah,,
istockphoto-177247793-612x612.jpg,72.0,Merah,,
istockphoto-177247793-612x612.jpg,72.0,Merah,,
istockphoto-179514712-612x612.jpg,4.0,Merah,,
istockphoto-179514712-612x612.jpg,4.0,Merah,,
istockphoto-185071735-612x612.jpg,72.0,Merah,,
istockphoto-185071735-612x612.jpg,72.0,Merah,,
istockphoto-185689098-612x612.jpg,107.0,Merah,,
istockphoto-185689098-612x612.jpg,107.0,Merah,,
istockphoto-186843005-612x612.jpg,177.0,Merah,,
istockphoto-186843005-612x612.jpg,177.0,Merah,,
istockphoto-187185922-612x612.jpg,3.0,Merah,,
istockphoto-187185922-612x612.jpg,3.0,Merah,,
istockphoto-2218780905-612x612.jpg,142.2,Merah,,
istockphoto-2218780905-612x612.jpg,142.2,Merah,,
istockphoto-2218780960-612x612.jpg,141.6,Merah,,
istockphoto-2218780960-612x612.jpg,141.6,Merah,,
istockphoto-465833631-612x612.jpg,175.6,Merah,,
istockphoto-465833631-612x612.jpg,175.6,Merah,,
istockphoto-466413957-612x612.jpg,2.0,Merah,,
istockphoto-466413957-612x612.jpg,2.0,Merah,,
istockphoto-471597370-612x612.jpg,176.0,Merah,,
istockphoto-471597370-612x612.jpg,176.0,Merah,,
istockphoto-479800900-612x612.jpg,2.0,Merah,,
istockphoto-479800900-612x612.jpg,2.0,Merah,,
istockphoto-483874492-612x612.jpg,1.5,Merah,41.0,Hijau
