Kategori,Nama_File,Hue_1,Warna_1,Area,Perimeter,Circularity,Aspect_Ratio,Solidity,Extent,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B,Contrast,Correlation,Energy,Homogeneity,Dissimilarity,Entropy,FFT_Mean,FFT_Std,Gabor_Mean,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std,Hue_2,Warna_2,Hue_3,Warna_3
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,315276.0,2254.0,0.7798174559065856,1.18,1.0,0.9964349376114082,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62,6522.39,0.4271465490632293,0.3013266874919826,0.01,80.76,4.26,4620.49,115556.02,0.0,1.2021,0.4248,0.8435,0.5669,0.9939,0.3214,0.9451,0.8602,0.5681,1.4479,0.8298,0.5659,0.8673,0.8559,0.568,1.548,0.8282,0.5657,1.9437,0.9817,0.6179,231,96,43,48.31,57.34,79.24,27.35,54.09,,,,
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,315276.0,2254.0,0.7798174559065856,1.18,1.0,0.9964349376114082,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62,6522.39,0.4271465490632293,0.3013266874919826,0.01,80.76,4.26,4620.49,115556.02,0.0,1.2021,0.4248,0.8435,0.5669,0.9939,0.3214,0.9451,0.8602,0.5681,1.4479,0.8298,0.5659,0.8673,0.8559,0.568,1.548,0.8282,0.5657,1.9437,0.9817,0.6179,231,96,43,48.31,57.34,79.24,27.35,54.09,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,345215.0,2352.0,0.7841964776749564,1.08,1.0,0.9966021155222984,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74,7065.44,0.5061193899540556,0.1600091436234012,0.01,84.06,5.47,5770.24,109400.44,0.0,1.7368,0.587,0.7901,0.4216,0.9918,0.1777,1.2481,0.8133,0.4233,2.0707,0.7721,0.42,1.3713,0.8064,0.4232,2.2569,0.7687,0.4199,3.0396,1.2806,0.746,268,112,60,71.58,71.51,76.71,37.37,61.9,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,345215.0,2352.0,0.7841964776749564,1.08,1.0,0.9966021155222984,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74,7065.44,0.5061193899540556,0.1600091436234012,0.01,84.06,5.47,5770.24,109400.44,0.0,1.7368,0.587,0.7901,0.4216,0.9918,0.1777,1.2481,0.8133,0.4233,2.0707,0.7721,0.42,1.3713,0.8064,0.4232,2.2569,0.7687,0.4199,3.0396,1.2806,0.746,268,112,60,71.58,71.51,76.71,37.37,61.9,,,,
apel,istockphoto-1251667475-612x612.jpg,176.0,Merah,364156.0,2414.0,0.7852768642190403,0.98,1.0,0.996693708192378,212.2,152.95,159.4,48.98,107.41,100.03,79.35,93.82,212.24,87.0,102.13,49.0,-0.59,-0.26,-0.25,-1.23,-1.74,-1.75,7819.37,0.5159360050020613,0.2107042369426985,0.01,88.43,4.93,5416.31,116448.28,0.0,1.4034,0.4733,0.8315,0.4861,0.994,0.2363,1.0133,0.8502,0.4876,1.6099,0.8171,0.4846,1.1148,0.845,0.4876,1.8755,0.8137,0.4844,2.2531,1.0349,0.5447,219,80,32,68.86,86.02,112.37,30.0,56.79,,,,
apel,istockphoto-1251667475-612x612.jpg,176.0,Merah,364156.0,2414.0,0.7852768642190403,0.98,1.0,0.996693708192378,212.2,152.95,159.4,48.98,107.41,100.03,79.35,93.82,212.24,87.0,102.13,49.0,-0.59,-0.26,-0.25,-1.23,-1.74,-1.75,7819.37,0.5159360050020613,0.2107042369426985,0.01,88.43,4.93,5416.31,116448.28,0.0,1.4034,0.4733,0.8315,0.4861,0.994,0.2363,1.0133,0.8502,0.4876,1.6099,0.8171,0.4846,1.1148,0.845,0.4876,1.8755,0.8137,0.4844,2.2531,1.0349,0.5447,219,80,32,68.86,86.02,112.37,30.0,56.79,,,,
apel,istockphoto-1278670245-612x612.jpg,37.0,Merah,342160.0,2342.0,0.7839084029374003,1.09,1.0,0.99658639451027,228.13,170.76,158.84,57.82,92.17,102.19,22.62,93.08,235.8,52.05,100.11,35.79,-2.61,-0.41,-0.27,5.6,-1.5,-1.71,5341.22,0.3917619445069822,0.2166268770157419,0.01,73.08,4.84,5455.37,117270.86,0.0,1.692,0.5151,0.8211,0.4946,0.9894,0.2446,1.2955,0.8366,0.4961,2.1621,0.8027,0.4929,1.1899,0.8404,0.4962,2.1205,0.8046,0.4931,3.1436,1.5178,0.7954,367,167,80,53.65,55.93,60.49,33.76,65.41,,,,
apel,istockphoto-1278670245-612x612.jpg,37.0,Merah,342160.0,2342.0,0.7839084029374003,1.09,1.0,0.99658639451027,228.13,170.76,158.84,57.82,92.17,102.19,22.62,93.08,235.8,52.05,100.11,35.79,-2.61,-0.41,-0.27,5.6,-1.5,-1.71,5341.22,0.3917619445069822,0.2166268770157419,0.01,73.08,4.84,5455.37,117270.86,0.0,1.692,0.5151,0.8211,0.4946,0.9894,0.2446,1.2955,0.8366,0.4961,2.1621,0.8027,0.4929,1.1899,0.8404,0.4962,2.1205,0.8046,0.4931,3.1436,1.5178,0.7954,367,167,80,53.65,55.93,60.49,33.76,65.41,,,,
apel,istockphoto-1291262170-612x612.jpg,142.2,Merah,362934.0,2410.0,0.7852418437271795,1.03,1.0,0.9966880869995057,225.48,164.32,167.53,39.13,101.42,96.99,62.17,84.18,225.52,83.91,95.93,39.15,-0.96,-0.37,-0.34,-0.52,-1.68,-1.72,6563.53,0.4427774463281918,0.2483315832307247,0.01,81.02,4.67,5889.92,120607.79,0.0,1.6937,0.5634,0.8028,0.518,0.9914,0.2683,1.2919,0.8206,0.5192,2.076,0.7885,0.5167,1.2829,0.8185,0.5192,2.1238,0.7838,0.5167,2.9079,1.2715,0.5967,316,126,47,60.99,65.68,82.71,35.38,61.68,,,,
apel,istockphoto-1291262170-612x612.jpg,142.2,Merah,362934.0,2410.0,0.7852418437271795,1.03,1.0,0.9966880869995057,225.48,164.32,167.53,39.13,101.42,96.99,62.17,84.18,225.52,83.91,95.93,39.15,-0.96,-0.37,-0.34,-0.52,-1.68,-1.72,6563.53,0.4427774463281918,0.2483315832307247,0.01,81.02,4.67,5889.92,120607.79,0.0,1.6937,0.5634,0.8028,0.518,0.9914,0.2683,1.2919,0.8206,0.5192,2.076,0.7885,0.5167,1.2829,0.8185,0.5192,2.1238,0.7838,0.5167,2.9079,1.2715,0.5967,316,126,47,60.99,65.68,82.71,35.38,61.68,,,,
