Kategori,Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
apel,istockphoto-139536288-612x612.jpg,2.7723,0.7289,0.7671,0.4913,0.9773,0.2414,2.3234,0.7808,0.4926,3.1674,0.7556,0.4901,2.115,0.7833,0.4929,3.4837,0.7485,0.4895
apel,istockphoto-139536288-612x612.jpg,2.7723,0.7289,0.7671,0.4913,0.9773,0.2414,2.3234,0.7808,0.4926,3.1674,0.7556,0.4901,2.115,0.7833,0.4929,3.4837,0.7485,0.4895
apel,istockphoto-145152710-612x612.jpg,1.4003,0.4286,0.8458,0.6162,0.9905,0.3797,1.1044,0.8593,0.6172,1.7989,0.8351,0.6151,1.0228,0.8585,0.6173,1.6749,0.8304,0.6152
apel,istockphoto-145152710-612x612.jpg,1.4003,0.4286,0.8458,0.6162,0.9905,0.3797,1.1044,0.8593,0.6172,1.7989,0.8351,0.6151,1.0228,0.8585,0.6173,1.6749,0.8304,0.6152
apel,istockphoto-146074221-612x612.jpg,1.0398,0.3542,0.8709,0.6477,0.9931,0.4195,0.7848,0.882,0.6486,1.3118,0.8596,0.6467,0.8233,0.8824,0.6487,1.2392,0.8594,0.6467
apel,istockphoto-146074221-612x612.jpg,1.0398,0.3542,0.8709,0.6477,0.9931,0.4195,0.7848,0.882,0.6486,1.3118,0.8596,0.6467,0.8233,0.8824,0.6487,1.2392,0.8594,0.6467
apel,istockphoto-146899851-612x612.jpg,0.9515,0.3514,0.868,0.6414,0.9928,0.4115,0.7618,0.8771,0.6428,1.2044,0.8548,0.6401,0.6832,0.8859,0.6425,1.1567,0.8543,0.6403
apel,istockphoto-146899851-612x612.jpg,0.9515,0.3514,0.868,0.6414,0.9928,0.4115,0.7618,0.8771,0.6428,1.2044,0.8548,0.6401,0.6832,0.8859,0.6425,1.1567,0.8543,0.6403
apel,istockphoto-147072004-612x612.jpg,0.9897,0.3221,0.8873,0.7217,0.9906,0.5209,0.7061,0.8989,0.7229,1.2097,0.8764,0.7208,0.8409,0.8958,0.7223,1.2023,0.878,0.7209
apel,istockphoto-147072004-612x612.jpg,0.9897,0.3221,0.8873,0.7217,0.9906,0.5209,0.7061,0.8989,0.7229,1.2097,0.8764,0.7208,0.8409,0.8958,0.7223,1.2023,0.878,0.7209
apel,istockphoto-147666530-612x612.jpg,1.5906,0.4908,0.8281,0.5547,0.9924,0.3077,1.2221,0.841,0.5562,1.9182,0.8142,0.5534,1.2202,0.8423,0.5557,2.0019,0.8149,0.5535
apel,istockphoto-147666530-612x612.jpg,1.5906,0.4908,0.8281,0.5547,0.9924,0.3077,1.2221,0.841,0.5562,1.9182,0.8142,0.5534,1.2202,0.8423,0.5557,2.0019,0.8149,0.5535
apel,istockphoto-1489396457-612x612.jpg,1.8435,0.7009,0.7408,0.3754,0.9874,0.1409,1.3747,0.7657,0.3773,2.3926,0.718,0.3733,1.4239,0.76,0.3771,2.1827,0.7194,0.3737
apel,istockphoto-1489396457-612x612.jpg,1.8435,0.7009,0.7408,0.3754,0.9874,0.1409,1.3747,0.7657,0.3773,2.3926,0.718,0.3733,1.4239,0.76,0.3771,2.1827,0.7194,0.3737
apel,istockphoto-1605993675-612x612.jpg,1.8167,0.6575,0.761,0.4242,0.9889,0.18,1.422,0.7812,0.4258,2.3549,0.7408,0.4224,1.3513,0.7806,0.426,2.1385,0.7415,0.4227
