Kategori,Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
apel,istockphoto-667680664-612x612.jpg,36.8,Merah,,,,
apel,istockphoto-92360356-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-92360356-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-92655916-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-92655916-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-95484841-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-95484841-612x612.jpg,2.0,Merah,,,,
mangga,istockphoto-1019837036-612x612.jpg,11.5,Oranye,9.0,Merah,,
mangga,istockphoto-1019837036-612x612.jpg,11.5,Oranye,9.0,Merah,,
mangga,istockphoto-1149286249-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1149286249-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1171367229-612x612.jpg,22.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1171367229-612x612.jpg,22.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1171367243-612x612.jpg,21.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1171367243-612x612.jpg,21.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1195116522-612x612.jpg,22.0,Oranye,51.5,Hijau,,
mangga,istockphoto-1195116522-612x612.jpg,22.0,Oranye,51.5,Hijau,,
mangga,istockphoto-1195116554-612x612.jpg,22.5,Oranye,50.0,Hijau,,
mangga,istockphoto-1195116554-612x612.jpg,22.5,Oranye,50.0,Hijau,,
mangga,istockphoto-1195117589-612x612.jpg,23.5,Oranye,26.0,Kuning,,
mangga,istockphoto-1195117589-612x612.jpg,23.5,Oranye,26.0,Kuning,,
mangga,istockphoto-1195117744-612x612.jpg,23.0,Oranye,25.0,Kuning,108.0,Biru
mangga,istockphoto-1195117744-612x612.jpg,23.0,Oranye,25.0,Kuning,108.0,Biru
mangga,istockphoto-1195117749-612x612.jpg,23.0,Oranye,25.0,Kuning,47.0,Hijau
mangga,istockphoto-1195117749-612x612.jpg,23.0,Oranye,25.0,Kuning,47.0,Hijau
mangga,istockphoto-1195117759-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-1195117759-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-119597188-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-119597188-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-1197428679-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-1197428679-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-1206575305-612x612.jpg,42.0,Hijau,,,,
mangga,istockphoto-1206575305-612x612.jpg,42.0,Hijau,,,,
mangga,istockphoto-1206825656-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-1206825656-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-1209795414-612x612.jpg,26.0,Kuning,41.0,Hijau,24.0,Oranye
mangga,istockphoto-1209795414-612x612.jpg,26.0,Kuning,41.0,Hijau,24.0,Oranye
mangga,istockphoto-1214491990-612x612.jpg,25.5,Kuning,23.0,Oranye,,
mangga,istockphoto-1214491990-612x612.jpg,25.5,Kuning,23.0,Oranye,,
